"job_title","salary_year_avg","company_name"
"Data Scientist","960000.0","East River Electric Power Cooperative, Inc."
"Senior Data Scientist","890000.0","MSP Staffing  LTD"
"Data Analyst","650000.0","Mantys"
"Geographic Information Systems Analyst - GIS Analyst","585000.0","ReServe"
"Staff Data Scientist/Quant Researcher","550000.0","Selby Jennings"
"Staff Data Scientist - Business Analytics","525000.0","Selby Jennings"
"Hybrid - Data Engineer - Up to $600k","525000.0","Durlston Partners"
"VP Data Science & Research","463500.0","WhatsApp"
"Data Scientist (L5) - Member Product","450000.0","Netflix"
"Data Engineer (L4) - Games","450000.0","Netflix"
