"job_title","salary_year_avg","company_name"
"Data Analyst","650000.0","Mantys"
"Staff Data Scientist/Quant Researcher","550000.0","Selby Jennings"
"Staff Data Scientist - Business Analytics","525000.0","Selby Jennings"
"Senior Data Scientist","475000.0","Glocomms"
"Data Scientist","375000.0","Algo Capital Group"
"Head of Data Science","351500.0","Demandbase"
"Director of Analytics","336500.0","Meta"
"Data Engineer","325000.0","Engtal"
"Principal Machine Learning Engineer","325000.0","Storm5"
"Senior Machine Learning Engineer","325000.0","Harnham"
